Date,Ticker,Compound,Positive,Negative,Neutral,Sentiment Signal
2020-08-01,XLM,0.765,0.209,0.0,0.791,1
2020-07-31,XLM,0.7845,0.226,0.0,0.774,1
2020-07-30,XLM,0.0,0.0,0.0,1.0,0
2020-07-29,XLM,0.6369,0.096,0.0,0.904,1
2020-07-28,XLM,0.3818,0.073,0.0,0.927,1
2020-07-27,XLM,-0.3818,0.118,0.224,0.658,-1
2020-07-26,XLM,0.0,0.0,0.0,1.0,0
2020-07-25,XLM,0.0,0.0,0.0,1.0,0
2020-07-24,XLM,0.2263,0.076,0.0,0.924,1
2020-07-23,XLM,0.6249,0.196,0.0,0.804,1
2020-07-22,XLM,0.5255,0.226,0.0,0.774,1
2020-07-21,XLM,0.0,0.0,0.0,1.0,0
2020-07-20,XLM,0.5994,0.45,0.0,0.55,1
2020-07-19,XLM,0.0,0.0,0.0,1.0,0
2020-07-18,XLM,0.7184,0.25,0.0,0.75,1
2020-07-17,XLM,0.2023,0.153,0.0,0.847,1
2020-07-16,XLM,0.0,0.0,0.0,1.0,0
2020-07-15,XLM,0.0,0.0,0.0,1.0,0
2020-07-14,XLM,0.6597,0.474,0.0,0.526,1
2020-07-13,XLM,0.3818,0.115,0.0,0.885,1
2020-07-12,XLM,0.3612,0.185,0.0,0.815,1
2020-07-11,XLM,0.0,0.0,0.0,1.0,0
2020-07-10,XLM,0.0,0.0,0.0,1.0,0
2020-07-09,XLM,0.2023,0.153,0.0,0.847,1
2020-07-08,XLM,0.0,0.0,0.0,1.0,0
2020-07-07,XLM,-0.4588,0.0,0.2,0.8,-1
2020-07-06,XLM,0.4927,0.138,0.0,0.862,1
2020-07-05,XLM,0.0,0.0,0.0,1.0,0
2020-07-04,XLM,0.0,0.0,0.0,1.0,0
2020-07-03,XLM,0.5994,0.176,0.0,0.824,1
2020-07-02,XLM,0.0,0.0,0.0,1.0,0
2020-07-01,XLM,0.2023,0.153,0.0,0.847,1
2020-06-30,XLM,0.5719,0.158,0.0,0.842,1
2020-06-29,XLM,0.0,0.0,0.0,1.0,0
2020-06-28,XLM,0.0,0.0,0.0,1.0,0
2020-06-27,XLM,0.0,0.0,0.0,1.0,0
2020-06-26,XLM,0.0,0.0,0.0,1.0,0
2020-06-25,XLM,0.6124,0.192,0.0,0.808,1
2020-06-24,XLM,0.0,0.0,0.0,1.0,0
2020-06-23,XLM,0.955,0.275,0.0,0.725,1
2020-06-22,XLM,0.2023,0.153,0.0,0.847,1
2020-06-21,XLM,0.2023,0.153,0.0,0.847,1
2020-06-20,XLM,0.4404,0.153,0.0,0.847,1
2020-06-19,XLM,0.2023,0.153,0.0,0.847,1
2020-06-18,XLM,0.0,0.0,0.0,1.0,0
2020-06-17,XLM,0.0,0.0,0.0,1.0,0
2020-06-16,XLM,0.6249,0.231,0.0,0.769,1
2020-06-15,XLM,0.6597,0.241,0.0,0.759,1
2020-06-14,XLM,0.0,0.0,0.0,1.0,0
2020-06-13,XLM,-0.6486,0.0,0.158,0.842,-1
2020-06-12,XLM,0.8007,0.297,0.0,0.703,1
