Date,Ticker,Compound,Positive,Negative,Neutral,Sentiment Signal
2020-05-23,DOGE,0.4588,0.5,0.0,0.5,1
2020-05-22,DOGE,0.4939,0.118,0.0,0.882,1
2020-05-21,DOGE,0.5106,0.248,0.0,0.752,1
2020-05-20,DOGE,0.6249,0.181,0.0,0.819,1
2020-05-19,DOGE,0.8261,0.242,0.0,0.758,1
2020-05-18,DOGE,0.5256,0.112,0.0,0.888,1
2020-05-17,DOGE,0.34,0.082,0.0,0.918,1
2020-05-16,DOGE,0.0,0.0,0.0,1.0,0
2020-05-15,DOGE,0.3182,0.091,0.0,0.909,1
2020-05-14,DOGE,0.5106,0.248,0.0,0.752,1
2020-05-13,DOGE,0.34,0.085,0.0,0.915,1
2020-05-12,DOGE,0.2023,0.067,0.0,0.933,1
2020-05-11,DOGE,0.0,0.0,0.0,1.0,0
2020-05-10,DOGE,0.0,0.0,0.0,1.0,0
2020-05-09,DOGE,0.34,0.103,0.0,0.897,1
2020-05-08,DOGE,0.0,0.0,0.0,1.0,0
2020-05-07,DOGE,0.6705,0.297,0.0,0.703,1
2020-05-06,DOGE,0.3753,0.119,0.075,0.806,1
2020-05-05,DOGE,0.0,0.0,0.0,1.0,0
2020-05-04,DOGE,0.5267,0.173,0.0,0.827,1
2020-05-03,DOGE,0.0,0.0,0.0,1.0,0
2020-05-02,DOGE,0.9208,0.321,0.042,0.637,1
2020-05-01,DOGE,0.25,0.111,0.0,0.889,1
2020-04-30,DOGE,0.0,0.0,0.0,1.0,0
2020-04-29,DOGE,0.25,0.111,0.0,0.889,1
2020-04-28,DOGE,0.7184,0.222,0.0,0.778,1
2020-04-27,DOGE,0.0,0.0,0.0,1.0,0
2020-04-26,DOGE,0.0,0.0,0.0,1.0,0
2020-04-25,DOGE,0.4767,0.119,0.0,0.881,1
2020-04-24,DOGE,0.8225,0.348,0.0,0.652,1
2020-04-23,DOGE,0.0,0.0,0.0,1.0,0
2020-04-22,DOGE,0.8779,0.357,0.0,0.643,1
2020-04-21,DOGE,0.871,0.261,0.0,0.739,1
2020-04-20,DOGE,0.0,0.0,0.0,1.0,0
2020-04-19,DOGE,0.0,0.0,0.0,1.0,0
2020-04-18,DOGE,0.0,0.0,0.0,1.0,0
2020-04-17,DOGE,0.4404,0.104,0.0,0.896,1
2020-04-16,DOGE,0.0,0.0,0.0,1.0,0
2020-04-15,DOGE,0.4019,0.137,0.114,0.749,1
2020-04-14,DOGE,0.4767,0.215,0.0,0.785,1
2020-04-13,DOGE,0.8585,0.315,0.065,0.62,1
2020-04-12,DOGE,0.0,0.0,0.0,1.0,0
2020-04-11,DOGE,0.0,0.0,0.0,1.0,0
2020-04-10,DOGE,0.3612,0.157,0.074,0.769,1
2020-04-09,DOGE,0.0,0.0,0.0,1.0,0
2020-04-08,DOGE,0.891,0.335,0.0,0.665,1
2020-04-07,DOGE,0.0,0.0,0.0,1.0,0
2020-04-06,DOGE,0.0258,0.048,0.0,0.952,1
2020-04-05,DOGE,0.4404,0.159,0.068,0.773,1
2020-04-04,DOGE,0.8271,0.293,0.0,0.707,1
2020-04-03,DOGE,0.8585,0.315,0.065,0.62,1
2020-04-02,DOGE,0.0,0.0,0.0,1.0,0
2020-04-01,DOGE,0.7351,0.674,0.0,0.326,1
2020-03-31,DOGE,0.7351,0.674,0.0,0.326,1
2020-03-30,DOGE,0.7345,0.15,0.0,0.85,1
2020-03-29,DOGE,0.0,0.0,0.0,1.0,0
2020-03-28,DOGE,0.0,0.0,0.0,1.0,0
2020-03-27,DOGE,0.0,0.0,0.0,1.0,0
2020-03-26,DOGE,0.6124,0.185,0.0,0.815,1
2020-03-25,DOGE,0.4389,0.286,0.154,0.56,1
2020-03-24,DOGE,0.4939,0.225,0.0,0.775,1
2020-03-23,DOGE,0.296,0.115,0.0,0.885,1
2020-03-22,DOGE,0.0,0.0,0.0,1.0,0
2020-03-21,DOGE,0.0,0.0,0.0,1.0,0
2020-03-20,DOGE,0.8689,0.351,0.0,0.649,1
2020-03-19,DOGE,0.6369,0.412,0.0,0.588,1
2020-03-18,DOGE,0.3818,0.302,0.0,0.698,1
2020-03-17,DOGE,0.8011,0.444,0.0,0.556,1
2020-03-16,DOGE,0.0,0.0,0.0,1.0,0
2020-03-15,DOGE,0.0,0.0,0.0,1.0,0
2020-03-14,DOGE,0.0,0.0,0.0,1.0,0
2020-03-13,DOGE,0.0,0.0,0.0,1.0,0
2020-03-12,DOGE,0.8585,0.315,0.065,0.62,1
2020-03-11,DOGE,0.5106,0.136,0.0,0.864,1
2020-03-10,DOGE,0.0,0.0,0.0,1.0,0
2020-03-09,DOGE,0.8585,0.315,0.065,0.62,1
2020-03-08,DOGE,0.8555,0.244,0.0,0.756,1
2020-03-07,DOGE,-0.8055,0.0,0.216,0.784,-1
2020-03-06,DOGE,0.0,0.0,0.0,1.0,0
2020-03-05,DOGE,0.4574,0.107,0.0,0.893,1
2020-03-04,DOGE,0.0,0.0,0.0,1.0,0
2020-03-03,DOGE,0.8733,0.289,0.0,0.711,1
2020-03-02,DOGE,0.3612,0.128,0.0,0.872,1
2020-03-01,DOGE,0.3182,0.103,0.054,0.843,1
2020-02-29,DOGE,0.636,0.191,0.0,0.809,1
2020-02-28,DOGE,0.6705,0.2,0.0,0.8,1
2020-02-27,DOGE,0.4927,0.132,0.0,0.868,1
2020-02-26,DOGE,0.5859,0.173,0.0,0.827,1
2020-02-25,DOGE,0.8588,0.442,0.0,0.558,1
2020-02-24,DOGE,0.636,0.191,0.0,0.809,1
2020-02-23,DOGE,0.8834,0.329,0.0,0.671,1
2020-02-22,DOGE,0.5803,0.181,0.0,0.819,1
2020-02-21,DOGE,0.7351,0.279,0.0,0.721,1
2020-02-20,DOGE,0.0,0.0,0.0,1.0,0
2020-02-19,DOGE,0.0,0.0,0.0,1.0,0
2020-02-18,DOGE,0.0,0.0,0.0,1.0,0
2020-02-17,DOGE,0.0,0.0,0.0,1.0,0
2020-02-16,DOGE,0.0,0.0,0.0,1.0,0
2020-02-15,DOGE,0.0,0.0,0.0,1.0,0
2020-02-14,DOGE,0.0,0.0,0.0,1.0,0
2020-02-13,DOGE,0.3182,0.081,0.0,0.919,1
2020-02-12,DOGE,0.8122,0.649,0.0,0.351,1
2020-02-11,DOGE,0.5994,0.145,0.0,0.855,1
2020-02-10,DOGE,0.0,0.0,0.0,1.0,0
2020-02-09,DOGE,0.0,0.0,0.0,1.0,0
2020-02-08,DOGE,0.0,0.0,0.0,1.0,0
2020-02-07,DOGE,0.0,0.0,0.0,1.0,0
2020-02-06,DOGE,0.4019,0.162,0.0,0.838,1
2020-02-05,DOGE,0.2023,0.153,0.0,0.847,1
2020-02-04,DOGE,0.2023,0.153,0.0,0.847,1
2020-02-03,DOGE,0.4588,0.12,0.0,0.88,1
2020-02-02,DOGE,0.4588,0.12,0.0,0.88,1
2020-02-01,DOGE,0.8519,0.22,0.0,0.78,1
2020-01-31,DOGE,0.8519,0.22,0.0,0.78,1
2020-01-30,DOGE,-0.5423,0.0,0.149,0.851,-1
2020-01-29,DOGE,0.0,0.0,0.0,1.0,0
2020-01-28,DOGE,0.9369,0.318,0.0,0.682,1
2020-01-27,DOGE,0.2263,0.058,0.0,0.942,1
2020-01-26,DOGE,-0.1779,0.0,0.078,0.922,-1
2020-01-25,DOGE,0.964,0.364,0.0,0.636,1
2020-01-24,DOGE,-0.4404,0.0,0.153,0.847,-1
2020-01-23,DOGE,-0.4404,0.0,0.153,0.847,-1
2020-01-22,DOGE,-0.4404,0.0,0.153,0.847,-1
2020-01-21,DOGE,-0.4404,0.0,0.162,0.838,-1
2020-01-20,DOGE,-0.4404,0.0,0.153,0.847,-1
2020-01-19,DOGE,-0.4404,0.0,0.162,0.838,-1
2020-01-18,DOGE,-0.4404,0.0,0.153,0.847,-1
2020-01-17,DOGE,-0.4404,0.0,0.153,0.847,-1
2020-01-16,DOGE,-0.4404,0.0,0.153,0.847,-1
2020-01-15,DOGE,-0.4404,0.0,0.162,0.838,-1
2020-01-14,DOGE,-0.4404,0.0,0.153,0.847,-1
2020-01-13,DOGE,-0.4404,0.0,0.162,0.838,-1
2020-01-12,DOGE,-0.4404,0.0,0.162,0.838,-1
2020-01-11,DOGE,-0.4404,0.0,0.153,0.847,-1
2020-01-10,DOGE,-0.4404,0.0,0.162,0.838,-1
2020-01-09,DOGE,-0.4404,0.0,0.153,0.847,-1
2020-01-08,DOGE,0.4939,0.154,0.0,0.846,1
2020-01-07,DOGE,-0.4404,0.0,0.162,0.838,-1
2020-01-06,DOGE,0.0,0.0,0.0,1.0,0
2020-01-05,DOGE,-0.4404,0.0,0.162,0.838,-1
2020-01-04,DOGE,-0.4404,0.0,0.153,0.847,-1
2020-01-03,DOGE,0.1027,0.093,0.079,0.828,1
2020-01-02,DOGE,-0.4404,0.0,0.162,0.838,-1
2020-01-01,DOGE,-0.4404,0.0,0.153,0.847,-1
2019-12-31,DOGE,-0.4404,0.0,0.153,0.847,-1
2019-12-30,DOGE,-0.4404,0.0,0.153,0.847,-1
2019-12-29,DOGE,-0.4404,0.0,0.153,0.847,-1
2019-12-28,DOGE,-0.4404,0.0,0.162,0.838,-1
2019-12-27,DOGE,-0.4404,0.0,0.153,0.847,-1
2019-12-26,DOGE,-0.4404,0.0,0.153,0.847,-1
2019-12-25,DOGE,-0.4404,0.0,0.153,0.847,-1
2019-12-24,DOGE,-0.6705,0.0,0.268,0.732,-1
2019-12-23,DOGE,-0.4404,0.0,0.153,0.847,-1
